creator_EOA,contract address,num_addresses
0xa3aa817587556C023e78B2285D381C68CEe17069,"['0x629e1E53355176aD356Db1011aB70Da6621bFCFb', '0xd85a565e80e6415b3b4c6A8Bd0E48502ADA121A9', '0x8b6b56c5F7b38a6F2032e29c3dc487d339b0aA46', '0x680Ee932b2e4708672CC84c1AF98469Ab39eA473', '0xFdC95fD031B46BF6f393EE161B699d90f65fA176']",5
0xa4157Dbac99F5CD4674A8A4d1fb916fB73cDEab2,"['0xFe3C067f8F925b4bF82162C646Df208E639305A5', '0x5EeD3a74852542c53EF093AE053f8605F675cC6B', '0xceD10F8e9E9c1EE8A05B762f7075D0Ce812aF331', '0xB9d6206c45Ad9f7911b2B82C4765C6073617fC75']",4
0xa66de5afa4DB434D5dc99bb671341Ed457269c6F,"['0x9954459C738Ab240eEaAe09FC3b4bfDB36704e61', '0x025EdE1E83992D27E4b5FdA07F0B8eA5E1517df5', '0x29FFBB4d1A5f4471e4403986674b053Df730DED6', '0x33810F448D18FE265773F57aF69645b08635c37c']",4
0xb8396b72763d87398a92141003d1753202D25E1e,"['0xF46786bE89ABadC596d0e72b8f18f03869951a7b', '0x43457aBa329Dc4880Ca3a103846bb58F4Df7FF91']",2
0xb9bdc2537C6F4B587A5C81A67e7e3a4e6dDDa189,"['0xF321d40dE83fF14E1C1aC22e19991E58858Be698', '0x5517A16b125c183156640Bc81FEE7DeD5007564e', '0xc63BA45E35Ad28c0A47dF27627cD3fB68D914C09', '0x1519c7e63Bf819210Bd01c6Ef304b07DF6cFB498', '0x7097ab5E6a52D7f32f403B2Ba056Ca13DB66122C', '0xdB9CcA451301c5CF457799E95bB81e20521636bF', '0xC376f5a547661c595Dd98178d9C8e0B2aFb94686', '0x5D302270793c954510664d0B65198bdc21135F90', '0x2dc1E2A2148705B3c149B4D312958Ce7dbb03b9c', '0xCad9feAa91260097f81552C37654Da388063b1e1', '0x18cdB7055568181592658CE31118D2C170Bf5877', '0x20b52cd694ffF2515CF47822E61a706E4ECb6948', '0xBa1F4F86dD87E838131B0dD989ae7b6D73da3A6a', '0x241DE9bB162E46d3488551996dB6Ada210d8d8cA', '0x37Db9A4e6786f73734Ab014cB8A1db3738EF1327', '0xDA148143379AE54e06d2429a5C80b19D4a9D6734']",16
0xbCdaDc6F004292Ce2b98d39d1187a2f766b94A37,"['0xcFb33Fd0125090a284e83761bCC6E1757912ae4F', '0x00F12e3473c5d92a67fFA9877EF7D1815945778e', '0xB5F8A0f5f01277251cAf555DEe8Dca5755d0859d', '0xfb2640d3fC7BF2B8c2fD22050Bf08cF6ebF76897', '0xe02efd10575B20A653e772968Be72fe57ad1a3C9', '0xA5b79F4e8dA9ff163f8B404B832a7A614a36500D', '0x6E9E04D715EDd0AdAde87a44fbBc582EF98df871', '0xD1D2C4E88d6a8ECea08cFe53aEabBc6c5d407E7f', '0x33d21a64e9D0De44F31c2302110dD2DB4E49b8a7', '0xf075f6F2977db97C1aFDe5585DF6B86161113489', '0x2bb010d388fD84887f8E7eE7Bf652d76B522de7f']",11
0xc1F6E0d0AB1e6d0e02ED8877349598D585F8657F,"['0x546E0A47B17DaA338df01566523776147FD2A4D6', '0xbeD018cEeA0A9B181ebF02F167bFBDf3c520c60a', '0x06E6a3CDF6cBa30a5A027Ce0540d3aB9eA1Abf44', '0xD3FC5A127b92606B0420654Ba68860c170bBba93', '0x0F6c51Bc7dD719D3C7685c93a6105b08A4C924d2', '0xDD027582CB541Ec738201cca8A9f969491428387', '0x615811FD937885873AB86B4f4978eeeE29E56a6C', '0x4f19d8895f4d08987c6887879137C97bCe0cC5D3']",8
0xcc517764D63fe79eA2207F47FedCD9fdE4CCA5F7,"['0xf168Ac8E52568592E75470b2007c1267B860DfBd', '0x5434434b46795e8E29ADAd8bd220F46958d732e0', '0x39e15180efe29cAe5E19fA229b5773d691805847', '0x18Fb0C069F47Ce7c3B4c623Ff6B57480dceB24C8', '0x2151fb4BB62AF87335403C3775E49552C9EC5535']",5
0xd070490B59F71deC05Ee038109F8Ba98e2456718,"['0x35b97DD7e51A401a20488d38500FFBd5C89a7601', '0x1E87576Dae6799b2D2B376Ee67b7Fed24AE28e31']",2
0xe6F6D3cd38e9BF1e118C8Fd1528D303d261BA4F7,"['0x04Ab8E6CE3602b7B4F1eF5f6e2Af6944dCbbb0Fd', '0x9530942b9FCD94ffEf569057593e6eB3704f303d', '0x9ae127E2B060F38f796135545199929C07ccdfB1', '0x6798Cb1f780aa7E70Ab5883317C0C47eDED6e632', '0x98F8846Fd7097cE3d6255A037fEd8e8f37A231Bb', '0xC76D615F03B5BCEEAa635B44C039352F2A88eAF0', '0x8b760432af7269ACc4730B54c293199aEaeeCc43']",7
0xe9FAc789C947f364f53C3BC28bB6E9e099526468,"['0x3C7D0106647a8AEDcA3Da59cEA2B3bB1284e8Ecf', '0x37013E7691e6a76E86d31a8f433af03f21093B3E', '0x1b9bd182e1342fbb1A4D2a495b911476d9641D16', '0x28FBcDc0c3778de57b412e344df06A1BE8159F92', '0x75864AdcDa1250C0FEB0866e01AB77E4425F896b', '0x87c75F8a69732bAd999CE1faB464526856215c77', '0x736c3BcB4d43d5CA77182786951377232D5C6Df1', '0x5e6CC114D2a9bF1701C8469EE3e86f629B158e1a']",8
0xfe2105E1317dFd6Ed3887BF7882977C03CFEbB7C,"['0x2a3d6FcfC0E712ec2F512053B5e78b373Dae9d4a', '0x58ef1855942baa397CCD099bA26bf70925796e3c', '0xE8a4F9ACdeF4e8625FF6Cd3019ae9f719D711AdA', '0x232caE3811aab3066fc7befbba18A331d8A07B5B', '0x519E4985A05DC909dC856CEC04eBD0f200D04B60', '0x2557c2e340aA3d7fC423106a2F04CE2467F0c42f']",6
